Id,Predicted
1,7505
2,6596
3,6492
4,6428
5,8297
6,6841
7,9437
8,1650
9,476
10,7487
11,6911
12,1624
13,9243
14,1966
15,4841
16,4841
17,2924
18,9974
19,5801
20,4185
21,7036
22,3989
23,7647
24,8704
25,6354
26,5857
27,4185
28,8739
29,3729
30,2267
31,2363
32,2470
33,4841
34,1463
35,7487
36,6911
37,5393
38,1561
39,9218
40,3989
41,1665
42,1171
43,2876
44,2989
45,4106
46,4106
47,4185
48,5393
49,5424
50,8329
51,4667
52,1420
53,3085
54,3729
55,3729
56,8363
57,6455
58,1529
59,4106
60,8872
61,9135
62,3082
63,1590
64,1698
65,933
66,4575
67,3658
68,4974
69,1509
70,2136
71,9745
72,4578
73,6898
74,5519
75,4462
76,5424
77,4185
78,4185
79,1356
80,5747
81,4925
82,4106
83,6084
84,5519
85,1509
86,1171
87,8930
88,8785
89,5424
90,2203
91,9956
92,1896
93,5140
94,4974
95,3439
96,1769
97,9353
98,5424
99,3220
100,1291
101,1935
102,6605
103,4185
104,5004
105,2586
106,1171
107,450
108,5396
109,7505
110,4562
111,4185
112,1896
113,5588
114,4621
115,5393
116,3729
117,8872
118,8429
119,8363
120,4185
121,5424
122,319
123,8704
124,5424
125,7857
126,9170
127,5857
128,3912
129,5424
130,4185
131,579
132,5519
133,4974
134,4185
135,319
136,4185
137,1171
138,6558
139,3574
140,8654
141,4027
142,5181
143,5685
144,256
145,5857
146,1171
147,4185
148,1171
149,3601
150,3220
151,1698
152,536
153,3729
154,1698
155,4106
156,4185
157,9745
158,1171
159,3389
160,4185
161,4106
162,7907
163,7487
164,5393
165,5393
166,5393
167,1171
168,3989
169,4974
170,4106
171,4185
172,1171
173,2876
174,4974
175,4185
176,3989
177,5857
178,4185
179,8363
180,3472
181,4185
182,3755
183,5424
184,2579
185,887
186,1698
187,4185
188,1171
189,4267
190,8152
191,5140
192,2205
193,6558
194,4612
195,2876
196,6354
197,8130
198,5046
199,1416
200,6126
201,8130
202,1698
203,7693
204,6648
205,3768
206,8363
207,4185
208,6898
209,3936
210,1613
211,5713
212,7952
213,8019
214,6898
215,1665
216,3894
217,6306
218,4667
219,7982
220,7419
221,4185
222,1698
223,1590
224,5857
225,5246
226,4974
227,8152
228,9823
229,4621
230,6073
231,9184
232,4106
233,7982
234,4562
235,6024
236,1628
237,4267
238,4185
239,2203
240,1590
241,4185
242,1171
243,1896
244,3729
245,115
246,4267
247,8974
248,3890
249,7743
250,8326
251,5140
252,6455
253,6024
254,501
255,1590
256,7802
257,1665
258,7952
259,4667
260,5238
261,6455
262,6177
263,9645
264,57
265,5424
266,5140
267,4185
268,4638
269,1171
270,1075
271,6183
272,1698
273,6024
274,4185
275,5461
276,1523
277,5588
278,6073
279,8152
280,3082
281,2586
282,6285
283,6455
284,6911
285,4267
286,4562
287,5519
288,4185
289,3989
290,933
291,1184
292,1171
293,1669
294,8230
295,6520
296,4185
297,5424
298,6428
299,5140
300,4106
301,1075
302,4267
303,5857
304,1896
305,7957
306,4185
307,2989
308,1896
309,6024
310,1669
311,6006
312,4267
313,1171
314,4267
315,1291
316,3085
317,4185
318,5588
319,5424
320,3854
321,4977
322,1935
323,3989
324,5140
325,5393
326,5046
327,5891
328,6073
329,6558
330,1484
331,2586
332,3220
333,3558
334,7894
335,7796
336,7996
337,4106
338,6428
339,933
340,8494
341,2986
342,1030
343,8363
344,5778
345,9778
346,1698
347,3989
348,7209
349,7775
350,1171
351,2876
352,5965
353,8813
354,2351
355,6805
356,3590
357,3989
358,6354
359,8872
360,5140
361,4925
362,8363
363,1935
364,4185
365,8363
366,4974
367,2000
368,9312
369,4185
370,1075
371,5588
372,6024
373,5258
374,2686
375,8176
376,4974
377,1669
378,8363
379,3933
380,4612
381,5519
382,6073
383,2686
384,8363
385,9136
386,4106
387,1906
388,6605
389,2586
390,5424
391,2306
392,1171
393,5809
394,9778
395,4185
396,2586
397,9259
398,8077
399,7036
400,8041
401,4562
402,2873
403,7537
404,5424
405,5519
406,3082
407,9889
408,4185
409,4935
410,1669
411,1896
412,1516
413,2038
414,2463
415,2203
416,2586
417,8363
418,7650
419,2593
420,6428
421,325
422,4185
423,5424
424,7254
425,3574
426,3989
427,4716
428,3250
429,4185
430,1218
431,1698
432,4185
433,5519
434,6911
435,3951
436,6596
437,5747
438,2586
439,6534
440,8666
441,3989
442,2686
443,4106
444,6354
445,1669
446,2306
447,6372
448,6455
449,4185
450,3082
451,3439
452,5046
453,5424
454,4185
455,6183
456,1509
457,5424
458,2586
459,1040
460,5140
461,2505
462,6024
463,1896
464,1484
465,5807
466,2586
467,4974
468,7796
469,9645
470,6703
471,3849
472,7505
473,8865
474,1760
475,7995
476,5857
477,4974
478,4185
479,4974
480,8363
481,2188
482,6455
483,6841
484,3890
485,1171
486,4185
487,1628
488,1171
489,8363
490,4185
491,3658
492,5882
493,5857
494,3634
495,4106
496,4562
